CR: 1.0
F: 1.0
Mu: 25
Ea: 12
Maximum number of executions: 600
------------------

CRS4EAs output 0
i 	 Age 	 Algorithm 	 Rating 	 RD 	 RI 	 RV
22 	 0 	 CRO-n4.0-m10.0-rho0.8-fbs0.4-fa0.8-pd0.5-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
23 	 0 	 CRO-n2.0-m12.0-rho0.2-fbs0.8-fa0.7-pd0.5-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
24 	 0 	 CRO-n6.0-m7.0-rho0.3-fbs0.3-fa0.1-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
-------------------------------------------------------------CRS4EAs output 39
i 	 Age 	 Algorithm 	 Rating 	 RD 	 RI 	 RV
0 	 0 	 CRO-n6.0-m4.0-rho0.8-fbs0.2-fa0.7-pd1.0-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
1 	 0 	 CRO-n13.0-m6.0-rho0.1-fbs0.6-fa0.6-pd0.0-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
2 	 0 	 CRO-n3.0-m3.0-rho0.2-fbs0.8-fa0.8-pd0.8-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
3 	 0 	 CRO-n11.0-m1.0-rho0.9-fbs0.1-fa0.6-pd0.8-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
4 	 0 	 CRO-n8.0-m5.0-rho1.0-fbs1.0-fa0.7-pd0.1-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
5 	 0 	 CRO-n6.0-m12.0-rho0.2-fbs0.3-fa0.1-pd0.5-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
6 	 0 	 CRO-n2.0-m7.0-rho0.3-fbs0.8-fa0.7-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
7 	 0 	 CRO-n5.0-m2.0-rho0.8-fbs0.1-fa0.4-pd0.7-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
8 	 0 	 CRO-n12.0-m11.0-rho1.0-fbs0.9-fa0.4-pd0.3-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
9 	 0 	 CRO-n7.0-m3.0-rho0.5-fbs0.7-fa0.6-pd0.4-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
10 	 0 	 CRO-n8.0-m10.0-rho0.8-fbs0.5-fa0.2-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
11 	 0 	 CRO-n7.0-m12.0-rho0.4-fbs0.8-fa0.5-pd0.4-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
12 	 0 	 CRO-n8.0-m14.0-rho0.4-fbs1.0-fa0.1-pd0.4-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
13 	 0 	 CRO-n13.0-m12.0-rho0.9-fbs0.7-fa0.2-pd0.6-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
14 	 0 	 CRO-n10.0-m9.0-rho0.6-fbs0.3-fa0.3-pd0.5-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
15 	 0 	 CRO-n3.0-m6.0-rho0.1-fbs0.6-fa0.6-pd0.8-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
16 	 0 	 CRO-n13.0-m3.0-rho0.2-fbs0.8-fa0.8-pd0.0-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
17 	 0 	 CRO-n4.0-m2.0-rho0.4-fbs0.1-fa0.5-pd0.1-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
18 	 0 	 CRO-n13.0-m8.0-rho0.7-fbs0.0-fa0.3-pd0.3-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
19 	 0 	 CRO-n8.0-m1.0-rho1.0-fbs1.0-fa0.6-pd0.8-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
20 	 0 	 CRO-n11.0-m5.0-rho0.9-fbs0.1-fa0.7-pd0.1-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
21 	 0 	 CRO-n2.0-m3.0-rho0.0-fbs0.3-fa0.9-pd0.8-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
22 	 0 	 CRO-n3.0-m3.0-rho0.2-fbs1.0-fa0.5-pd0.5-attemptsToSettle0.0 	 1500 	 350 	 [800,2200] 	 0
23 	 0 	 CRO-n6.0-m7.0-rho0.2-fbs0.8-fa0.1-pd0.5-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
24 	 0 	 CRO-n2.0-m12.0-rho0.3-fbs0.3-fa0.7-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
-------------------------------------------------------------CRS4EAs output 40
i 	 Age 	 Algorithm 	 Rating 	 RD 	 RI 	 RV
0 	 0 	 CRO-n6.0-m4.0-rho0.8-fbs0.2-fa0.7-pd1.0-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
1 	 0 	 CRO-n13.0-m6.0-rho0.1-fbs0.6-fa0.6-pd0.0-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
2 	 0 	 CRO-n3.0-m3.0-rho0.2-fbs0.8-fa0.8-pd0.8-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
3 	 0 	 CRO-n11.0-m1.0-rho0.9-fbs0.1-fa0.6-pd0.8-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
4 	 0 	 CRO-n8.0-m5.0-rho1.0-fbs1.0-fa0.7-pd0.1-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
5 	 0 	 CRO-n6.0-m12.0-rho0.2-fbs0.3-fa0.1-pd0.5-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
6 	 0 	 CRO-n2.0-m7.0-rho0.3-fbs0.8-fa0.7-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
7 	 0 	 CRO-n5.0-m2.0-rho0.8-fbs0.1-fa0.4-pd0.7-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
8 	 0 	 CRO-n12.0-m11.0-rho1.0-fbs0.9-fa0.4-pd0.3-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
9 	 0 	 CRO-n7.0-m3.0-rho0.5-fbs0.7-fa0.6-pd0.4-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
10 	 0 	 CRO-n8.0-m10.0-rho0.8-fbs0.5-fa0.2-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
11 	 0 	 CRO-n7.0-m12.0-rho0.4-fbs0.8-fa0.5-pd0.4-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
12 	 0 	 CRO-n8.0-m14.0-rho0.4-fbs1.0-fa0.1-pd0.4-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
13 	 0 	 CRO-n8.0-m5.0-rho0.1-fbs0.8-fa0.2-pd0.9-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
14 	 0 	 CRO-n12.0-m8.0-rho0.0-fbs1.0-fa0.6-pd0.1-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
15 	 0 	 CRO-n13.0-m6.0-rho0.2-fbs0.8-fa0.8-pd0.0-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
16 	 0 	 CRO-n3.0-m3.0-rho0.1-fbs0.6-fa0.6-pd0.8-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
17 	 0 	 CRO-n6.0-m1.0-rho0.8-fbs0.7-fa0.3-pd0.6-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
18 	 0 	 CRO-n1.0-m11.0-rho0.6-fbs0.9-fa0.4-pd0.4-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
19 	 0 	 CRO-n11.0-m1.0-rho1.0-fbs1.0-fa0.6-pd0.1-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
20 	 0 	 CRO-n8.0-m5.0-rho0.9-fbs0.1-fa0.7-pd0.8-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
21 	 0 	 CRO-n6.0-m3.0-rho0.2-fbs0.7-fa0.7-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
22 	 0 	 CRO-n9.0-m8.0-rho0.0-fbs0.8-fa0.2-pd0.9-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
23 	 0 	 CRO-n2.0-m7.0-rho0.3-fbs0.8-fa0.7-pd0.5-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
24 	 0 	 CRO-n6.0-m12.0-rho0.2-fbs0.3-fa0.1-pd0.3-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
-------------------------------------------------------------CRS4EAs output 41
i 	 Age 	 Algorithm 	 Rating 	 RD 	 RI 	 RV
0 	 0 	 CRO-n6.0-m4.0-rho0.8-fbs0.2-fa0.7-pd1.0-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
1 	 0 	 CRO-n13.0-m6.0-rho0.1-fbs0.6-fa0.6-pd0.0-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
2 	 0 	 CRO-n3.0-m3.0-rho0.2-fbs0.8-fa0.8-pd0.8-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
3 	 0 	 CRO-n11.0-m1.0-rho0.9-fbs0.1-fa0.6-pd0.8-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
4 	 0 	 CRO-n8.0-m5.0-rho1.0-fbs1.0-fa0.7-pd0.1-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
5 	 0 	 CRO-n6.0-m12.0-rho0.2-fbs0.3-fa0.1-pd0.5-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
6 	 0 	 CRO-n2.0-m7.0-rho0.3-fbs0.8-fa0.7-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
7 	 0 	 CRO-n5.0-m2.0-rho0.8-fbs0.1-fa0.4-pd0.7-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
8 	 0 	 CRO-n12.0-m11.0-rho1.0-fbs0.9-fa0.4-pd0.3-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
9 	 0 	 CRO-n7.0-m3.0-rho0.5-fbs0.7-fa0.6-pd0.4-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
10 	 0 	 CRO-n8.0-m10.0-rho0.8-fbs0.5-fa0.2-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
11 	 0 	 CRO-n7.0-m12.0-rho0.4-fbs0.8-fa0.5-pd0.4-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
12 	 0 	 CRO-n8.0-m14.0-rho0.4-fbs1.0-fa0.1-pd0.4-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
13 	 0 	 CRO-n8.0-m2.0-rho0.4-fbs0.1-fa0.8-pd0.8-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
14 	 0 	 CRO-n14.0-m2.0-rho0.3-fbs0.2-fa0.8-pd0.5-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
15 	 0 	 CRO-n3.0-m6.0-rho0.2-fbs0.8-fa0.8-pd0.0-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
16 	 0 	 CRO-n13.0-m3.0-rho0.1-fbs0.6-fa0.6-pd0.8-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
17 	 0 	 CRO-n12.0-m6.0-rho0.8-fbs0.7-fa0.3-pd0.3-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
18 	 0 	 CRO-n8.0-m4.0-rho0.1-fbs0.3-fa0.9-pd0.4-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
19 	 0 	 CRO-n11.0-m1.0-rho1.0-fbs1.0-fa0.7-pd0.8-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
20 	 0 	 CRO-n8.0-m5.0-rho0.9-fbs0.1-fa0.6-pd0.1-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
21 	 0 	 CRO-n7.0-m10.0-rho0.3-fbs0.6-fa1.0-pd0.7-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
22 	 0 	 CRO-n14.0-m12.0-rho0.5-fbs0.2-fa0.0-pd0.5-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
23 	 0 	 CRO-n6.0-m12.0-rho0.2-fbs0.8-fa0.7-pd0.5-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
24 	 0 	 CRO-n2.0-m7.0-rho0.3-fbs0.3-fa0.1-pd0.3-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
-------------------------------------------------------------CRS4EAs output 42
i 	 Age 	 Algorithm 	 Rating 	 RD 	 RI 	 RV
0 	 0 	 CRO-n6.0-m4.0-rho0.8-fbs0.2-fa0.7-pd1.0-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
1 	 0 	 CRO-n13.0-m6.0-rho0.1-fbs0.6-fa0.6-pd0.0-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
2 	 0 	 CRO-n3.0-m3.0-rho0.2-fbs0.8-fa0.8-pd0.8-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
3 	 0 	 CRO-n11.0-m1.0-rho0.9-fbs0.1-fa0.6-pd0.8-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
4 	 0 	 CRO-n8.0-m5.0-rho1.0-fbs1.0-fa0.7-pd0.1-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
5 	 0 	 CRO-n6.0-m12.0-rho0.2-fbs0.3-fa0.1-pd0.5-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
6 	 0 	 CRO-n2.0-m7.0-rho0.3-fbs0.8-fa0.7-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
7 	 0 	 CRO-n5.0-m2.0-rho0.8-fbs0.1-fa0.4-pd0.7-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
8 	 0 	 CRO-n12.0-m11.0-rho1.0-fbs0.9-fa0.4-pd0.3-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
9 	 0 	 CRO-n7.0-m3.0-rho0.5-fbs0.7-fa0.6-pd0.4-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
10 	 0 	 CRO-n8.0-m10.0-rho0.8-fbs0.5-fa0.2-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
11 	 0 	 CRO-n7.0-m12.0-rho0.4-fbs0.8-fa0.5-pd0.4-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
12 	 0 	 CRO-n8.0-m14.0-rho0.4-fbs1.0-fa0.1-pd0.4-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
13 	 0 	 CRO-n9.0-m4.0-rho0.5-fbs0.3-fa0.5-pd0.8-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
14 	 0 	 CRO-n5.0-m4.0-rho0.8-fbs0.2-fa0.1-pd0.8-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
15 	 0 	 CRO-n3.0-m3.0-rho0.1-fbs0.8-fa0.6-pd0.0-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
16 	 0 	 CRO-n13.0-m6.0-rho0.2-fbs0.6-fa0.8-pd0.8-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
17 	 0 	 CRO-n5.0-m11.0-rho0.9-fbs0.4-fa0.9-pd0.9-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
18 	 0 	 CRO-n13.0-m9.0-rho0.6-fbs0.5-fa1.0-pd0.5-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
19 	 0 	 CRO-n11.0-m1.0-rho0.9-fbs0.1-fa0.6-pd0.1-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
20 	 0 	 CRO-n8.0-m5.0-rho1.0-fbs1.0-fa0.7-pd0.8-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
21 	 0 	 CRO-n12.0-m12.0-rho0.7-fbs0.1-fa0.3-pd1.0-attemptsToSettle0.0 	 1500 	 350 	 [800,2200] 	 0
22 	 0 	 CRO-n13.0-m13.0-rho0.6-fbs0.2-fa0.5-pd0.1-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
23 	 0 	 CRO-n6.0-m12.0-rho0.2-fbs0.3-fa0.7-pd0.5-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
24 	 0 	 CRO-n2.0-m7.0-rho0.3-fbs0.8-fa0.1-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
-------------------------------------------------------------CRS4EAs output 43
i 	 Age 	 Algorithm 	 Rating 	 RD 	 RI 	 RV
0 	 0 	 CRO-n6.0-m4.0-rho0.8-fbs0.2-fa0.7-pd1.0-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
1 	 0 	 CRO-n13.0-m6.0-rho0.1-fbs0.6-fa0.6-pd0.0-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
2 	 0 	 CRO-n3.0-m3.0-rho0.2-fbs0.8-fa0.8-pd0.8-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
3 	 0 	 CRO-n11.0-m1.0-rho0.9-fbs0.1-fa0.6-pd0.8-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
4 	 0 	 CRO-n8.0-m5.0-rho1.0-fbs1.0-fa0.7-pd0.1-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
5 	 0 	 CRO-n6.0-m12.0-rho0.2-fbs0.3-fa0.1-pd0.5-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
6 	 0 	 CRO-n2.0-m7.0-rho0.3-fbs0.8-fa0.7-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
7 	 0 	 CRO-n5.0-m2.0-rho0.8-fbs0.1-fa0.4-pd0.7-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
8 	 0 	 CRO-n12.0-m11.0-rho1.0-fbs0.9-fa0.4-pd0.3-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
9 	 0 	 CRO-n7.0-m3.0-rho0.5-fbs0.7-fa0.6-pd0.4-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
10 	 0 	 CRO-n8.0-m10.0-rho0.8-fbs0.5-fa0.2-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
11 	 0 	 CRO-n7.0-m12.0-rho0.4-fbs0.8-fa0.5-pd0.4-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
12 	 0 	 CRO-n8.0-m14.0-rho0.4-fbs1.0-fa0.1-pd0.4-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
13 	 0 	 CRO-n3.0-m12.0-rho0.5-fbs0.0-fa0.9-pd0.3-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
14 	 0 	 CRO-n13.0-m1.0-rho0.0-fbs0.9-fa0.7-pd0.4-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
15 	 0 	 CRO-n3.0-m3.0-rho0.2-fbs0.8-fa0.8-pd0.8-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
16 	 0 	 CRO-n13.0-m6.0-rho0.1-fbs0.6-fa0.6-pd0.0-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
17 	 0 	 CRO-n13.0-m7.0-rho0.2-fbs0.3-fa0.5-pd0.0-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
18 	 0 	 CRO-n13.0-m12.0-rho0.6-fbs0.3-fa0.2-pd0.1-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
19 	 0 	 CRO-n11.0-m5.0-rho1.0-fbs1.0-fa0.6-pd0.8-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
20 	 0 	 CRO-n8.0-m1.0-rho0.9-fbs0.1-fa0.7-pd0.1-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
21 	 0 	 CRO-n11.0-m11.0-rho0.1-fbs0.9-fa0.6-pd0.1-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
22 	 0 	 CRO-n11.0-m7.0-rho0.5-fbs0.8-fa0.6-pd0.6-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
23 	 0 	 CRO-n2.0-m7.0-rho0.2-fbs0.8-fa0.7-pd0.3-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
24 	 0 	 CRO-n6.0-m12.0-rho0.3-fbs0.3-fa0.1-pd0.5-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
-------------------------------------------------------------CRS4EAs output 44
i 	 Age 	 Algorithm 	 Rating 	 RD 	 RI 	 RV
0 	 0 	 CRO-n6.0-m4.0-rho0.8-fbs0.2-fa0.7-pd1.0-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
1 	 0 	 CRO-n13.0-m6.0-rho0.1-fbs0.6-fa0.6-pd0.0-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
2 	 0 	 CRO-n3.0-m3.0-rho0.2-fbs0.8-fa0.8-pd0.8-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
3 	 0 	 CRO-n11.0-m1.0-rho0.9-fbs0.1-fa0.6-pd0.8-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
4 	 0 	 CRO-n8.0-m5.0-rho1.0-fbs1.0-fa0.7-pd0.1-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
5 	 0 	 CRO-n6.0-m12.0-rho0.2-fbs0.3-fa0.1-pd0.5-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
6 	 0 	 CRO-n2.0-m7.0-rho0.3-fbs0.8-fa0.7-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
7 	 0 	 CRO-n5.0-m2.0-rho0.8-fbs0.1-fa0.4-pd0.7-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
8 	 0 	 CRO-n12.0-m11.0-rho1.0-fbs0.9-fa0.4-pd0.3-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
9 	 0 	 CRO-n7.0-m3.0-rho0.5-fbs0.7-fa0.6-pd0.4-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
10 	 0 	 CRO-n8.0-m10.0-rho0.8-fbs0.5-fa0.2-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
11 	 0 	 CRO-n7.0-m12.0-rho0.4-fbs0.8-fa0.5-pd0.4-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
12 	 0 	 CRO-n8.0-m14.0-rho0.4-fbs1.0-fa0.1-pd0.4-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
13 	 0 	 CRO-n12.0-m4.0-rho0.5-fbs0.7-fa0.8-pd1.0-attemptsToSettle0.0 	 1500 	 350 	 [800,2200] 	 0
14 	 0 	 CRO-n13.0-m3.0-rho0.6-fbs0.2-fa0.8-pd0.4-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
15 	 0 	 CRO-n3.0-m3.0-rho0.1-fbs0.8-fa0.8-pd0.0-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
16 	 0 	 CRO-n13.0-m6.0-rho0.2-fbs0.6-fa0.6-pd0.8-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
17 	 0 	 CRO-n3.0-m3.0-rho0.9-fbs0.1-fa0.6-pd0.7-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
18 	 0 	 CRO-n7.0-m11.0-rho0.2-fbs0.5-fa0.2-pd0.5-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
19 	 0 	 CRO-n8.0-m1.0-rho1.0-fbs0.1-fa0.6-pd0.1-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
20 	 0 	 CRO-n11.0-m5.0-rho0.9-fbs1.0-fa0.7-pd0.8-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
21 	 0 	 CRO-n7.0-m12.0-rho0.7-fbs0.4-fa0.5-pd0.3-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
22 	 0 	 CRO-n9.0-m12.0-rho0.4-fbs0.5-fa0.3-pd0.1-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
23 	 0 	 CRO-n2.0-m7.0-rho0.3-fbs0.8-fa0.1-pd0.5-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
24 	 0 	 CRO-n6.0-m12.0-rho0.2-fbs0.3-fa0.7-pd0.3-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
-------------------------------------------------------------CRS4EAs output 45
i 	 Age 	 Algorithm 	 Rating 	 RD 	 RI 	 RV
0 	 0 	 CRO-n6.0-m4.0-rho0.8-fbs0.2-fa0.7-pd1.0-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
1 	 0 	 CRO-n13.0-m6.0-rho0.1-fbs0.6-fa0.6-pd0.0-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
2 	 0 	 CRO-n3.0-m3.0-rho0.2-fbs0.8-fa0.8-pd0.8-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
3 	 0 	 CRO-n11.0-m1.0-rho0.9-fbs0.1-fa0.6-pd0.8-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
4 	 0 	 CRO-n8.0-m5.0-rho1.0-fbs1.0-fa0.7-pd0.1-attemptsToSettle4.0 	 1500 	 350 	 [800,2200] 	 0
5 	 0 	 CRO-n6.0-m12.0-rho0.2-fbs0.3-fa0.1-pd0.5-attemptsToSettle2.0 	 1500 	 350 	 [800,2200] 	 0
6 	 0 	 CRO-n2.0-m7.0-rho0.3-fbs0.8-fa0.7-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
7 	 0 	 CRO-n5.0-m2.0-rho0.8-fbs0.1-fa0.4-pd0.7-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
8 	 0 	 CRO-n12.0-m11.0-rho1.0-fbs0.9-fa0.4-pd0.3-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
9 	 0 	 CRO-n7.0-m3.0-rho0.5-fbs0.7-fa0.6-pd0.4-attemptsToSettle3.0 	 1500 	 350 	 [800,2200] 	 0
10 	 0 	 CRO-n8.0-m10.0-rho0.8-fbs0.5-fa0.2-pd0.3-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
11 	 0 	 CRO-n7.0-m12.0-rho0.4-fbs0.8-fa0.5-pd0.4-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
12 	 0 	 CRO-n8.0-m14.0-rho0.4-fbs1.0-fa0.1-pd0.4-attemptsToSettle1.0 	 1500 	 350 	 [800,2200] 	 0
